index,brightness_down,brightness_up,color_shift,contrast_down,contrast_up,gaussian_blur,original,rotate_-15,rotate_15,saturation_down,saturation_up
brightness_down,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
brightness_up,1.0,1.0,1.0,1.0,0.7237676744582477,1.0,0.8137619774343249,1.0,1.0,0.328312285323367,1.0
color_shift,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
contrast_down,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
contrast_up,1.0,0.7237676744582477,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
gaussian_blur,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
original,1.0,0.8137619774343249,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
rotate_-15,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.7601368073120732,1.0
rotate_15,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.5932155473174835,1.0
saturation_down,1.0,0.328312285323367,1.0,1.0,1.0,1.0,1.0,0.7601368073120732,0.5932155473174835,1.0,1.0
saturation_up,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
